date,time,route,route_type,origin,destination,flight_number,airline,status
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AA1161,American Airlines,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,UA1634,United Airlines,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AA1015,American Airlines,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AA1082,American Airlines,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AA2999,American Airlines,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,UA380,United Airlines,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,OS7720,Austrian,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,NH7709,ANA,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AC4867,Air Canada,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,AA1315,American Airlines,landed
2025-12-26,23:34:40,DFW to Chicago,domestic,DFW,ORD,EI7138,Aer Lingus,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,QR9132,Qatar Airways,active
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,QF3249,Qantas,active
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,GF6417,Gulf Air,active
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,BA2443,British Airways,active
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,AY4082,Finnair,active
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,TK8632,Turkish Airlines,active
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,LH7471,Lufthansa,active
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,AC4853,Air Canada,active
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,Y42844,Volaris,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,QR8635,Qatar Airways,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,QF3105,Qantas,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,GF4205,Gulf Air,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,EI7132,Aer Lingus,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,BA6688,British Airways,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,SN9002,Brussels Airlines,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,LX3327,SWISS,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,EK6057,Emirates,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,AV2018,SA AVIANCA,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,AC5185,Air Canada,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,AA1573,American Airlines,scheduled
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,CV5337,Cargolux,scheduled
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,CV5326,Cargolux,scheduled
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,RJ7266,Royal Jordanian,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,QR9008,Qatar Airways,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,QF4677,Qantas,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,IB4573,Iberia,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,EI7130,Aer Lingus,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,BA2435,British Airways,landed
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,AA1898,American Airlines,scheduled
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,AA1161,American Airlines,diverted
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,AA2364,American Airlines,scheduled
2025-12-27,18:52:01,DFW to Chicago,domestic,DFW,ORD,Y42128,Volaris,landed
